Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"3","windows-forms","winforms","2010-07-14 06:34:55","23354","561","2017-06-04 19:35:09","0","23354","2010-07-14 06:34:55"
"5","c-sharp","c#","2010-07-14 22:30:24","17174","165","2017-06-07 12:35:04","0","17174","2010-07-14 22:30:24"
"7","hg","mercurial","2010-07-15 22:46:06","17174","977","2017-06-03 03:08:35","0","17174","2010-07-15 22:46:06"
"9","dotnet",".net","2010-07-16 00:02:29","17174","1132","2017-06-07 01:00:57","0","17174","2010-07-16 00:02:29"
"10","threading","multithreading","2010-07-16 00:04:00","17174","3581","2017-06-09 13:02:00","0","17174","2010-07-16 00:04:00"
"11","multithread","multithreading","2010-07-16 00:04:21","17174","473","2017-06-09 13:23:20","0","17174","2010-07-16 00:04:21"
"13","rails","ruby-on-rails","2010-07-16 00:06:30","17174","48332","2017-06-11 06:21:12","0","17174","2010-07-16 00:06:30"
"14","js","javascript","2010-07-16 00:07:56","13531","20964","2017-06-11 05:19:18","0","13531","2010-07-16 00:07:56"
"15","vc++","visual-c++","2010-07-16 00:11:44","17174","2443","2017-06-08 06:15:54","0","17174","2010-07-16 00:11:44"
"18","source-control","version-control","2010-07-16 00:17:21","17174","356","2017-01-26 20:44:11","0","17174","2010-07-16 00:17:21"
"19","blog","blogs","2010-07-16 00:18:16","17174","1427","2017-06-08 21:07:16","0","17174","2010-07-16 00:18:16"
"21","ui","user-interface","2010-07-16 00:24:40","17174","5835","2017-06-09 11:50:02","0","17174","2010-07-16 00:24:40"
"22","vs2008","visual-studio-2008","2010-07-16 00:25:49","17174","1182","2017-03-31 10:28:25","0","17174","2010-07-16 00:25:49"
"23","vs2005","visual-studio-2005","2010-07-16 00:26:24","17174","350","2017-05-13 07:12:38","0","17174","2010-07-16 00:26:24"
"24","vs2010","visual-studio-2010","2010-07-16 00:26:44","17174","3357","2017-06-07 10:26:42","0","17174","2010-07-16 00:26:44"
